CODE ,DESCRIPTION,QTY,UNIT PRICE,DATE,TIME,TYPE,PAYMENT METHOD,TOTAL AMOUNT
4B,Gong Bao Sauce Fish,1,8,9/12/2024,11:13:37,Take Out,QR Pay,8
7B,Honey Sauce Fish,1,9,9/12/2024,11:13:37,Take Out,QR Pay,9
9B,Black Pepper Sauce Duck,1,9,9/12/2024,11:22:25,Dine In,Cash,9
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,11:24:08,Take Out,QR Pay,9
9B,Black Pepper Sauce Duck,1,9,9/12/2024,11:24:08,Take Out,QR Pay,9
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,9/12/2024,11:24:56,Dine In,Cash,8.5
3A,Jin Xiang Sauce Chicken,1,7,9/12/2024,11:35:51,Dine In,Cash,7
4B,Gong Bao Sauce Fish,1,8,9/12/2024,11:37:10,Take Out,QR Pay,8
11A,Fried Chicken Roll (2 pcs),1,5,9/12/2024,11:41:36,Take Out,QR Pay,5
6A,Si Chuan Mala Sauce Chicken,1,8,9/12/2024,11:41:36,Take Out,QR Pay,8
7B,Honey Sauce Fish,1,9,9/12/2024,11:41:36,Take Out,QR Pay,9
3B,Jin Xiang Sauce Fish,1,8,9/12/2024,11:42:23,Take Out,QR Pay,8
11A,Fried Chicken Roll (2 pcs),1,5,9/12/2024,11:42:23,Take Out,QR Pay,5
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,11:42:23,Take Out,QR Pay,9
4A,Gong Bao Sauce Chicken,1,7,9/12/2024,11:45:25,Take Out,QR Pay,7
1A,Salt Egg Butter Milk Chicken,1,8,9/12/2024,11:50:42,Take Out,QR Pay,8
7B,Honey Sauce Fish,1,9,9/12/2024,11:50:42,Take Out,QR Pay,9
2A,Sweet & Sour Sauce Chicken,1,7,9/12/2024,11:53:09,Dine In,QR Pay,7
9B,Black Pepper Sauce Duck,1,9,9/12/2024,11:53:09,Dine In,QR Pay,9
7A,Honey Sauce Chicken,1,8,9/12/2024,11:54:21,Take Out,QR Pay,8
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,9/12/2024,11:55:33,Dine In,Cash,9.5
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,9/12/2024,11:58:02,Take Out,QR Pay,8.5
2B,Sweet & Sour Sauce Fish,1,8,9/12/2024,11:58:02,Take Out,QR Pay,8
7A,Honey Sauce Chicken,1,8,9/12/2024,11:58:02,Take Out,QR Pay,8
14,Cantonise Yi Mee,1,6.5,9/12/2024,12:02:40,Take Out,QR Pay,6.5
4B,Gong Bao Sauce Fish,1,8,9/12/2024,12:02:40,Take Out,QR Pay,8
4A,Gong Bao Sauce Chicken,1,7,9/12/2024,12:05:13,Dine In,Cash,7
9M,Salt Egg Mala Sauce Duck,1,9,9/12/2024,12:06:33,Take Out,QR Pay,9
9B,Black Pepper Sauce Duck,1,9,9/12/2024,12:09:02,Take Out,QR Pay,9
7B,Honey Sauce Fish,1,9,9/12/2024,12:09:02,Take Out,QR Pay,9
8B,Black Paper Sauce Fish,1,9,9/12/2024,12:12:23,Take Out,QR Pay,9
5A,Thai Patpet Sauce Chicken,1,8,9/12/2024,12:12:23,Take Out,QR Pay,8
11C,Fried Golden Fish Roll (2 pcs),1,5,9/12/2024,12:12:23,Take Out,QR Pay,5
7B,Honey Sauce Fish,1,9,9/12/2024,12:12:39,Dine In,Cash,9
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,9/12/2024,12:15:27,Take Out,QR Pay,6.5
4B,Gong Bao Sauce Fish,1,8,9/12/2024,12:15:27,Take Out,QR Pay,8
5A,Thai Patpet Sauce Chicken,1,8,9/12/2024,12:23:05,Take Out,QR Pay,8
9B,Black Pepper Sauce Duck,1,9,9/12/2024,12:25:08,Dine In,QR Pay,9
6A,Si Chuan Mala Sauce Chicken,1,8,9/12/2024,12:25:08,Dine In,QR Pay,8
1A,Salt Egg Butter Milk Chicken,1,8,9/12/2024,12:33:45,Take Out,QR Pay,8
4A,Gong Bao Sauce Chicken,1,7,9/12/2024,12:33:45,Take Out,QR Pay,7
11,Fried Chicken Wan-Tan (5 pcs),1,5,9/12/2024,12:35:34,Dine In,QR Pay,5
3B,Jin Xiang Sauce Fish,1,8,9/12/2024,12:35:34,Dine In,QR Pay,8
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,12:35:34,Dine In,QR Pay,9
11C,Fried Golden Fish Roll (2 pcs),1,5,9/12/2024,12:39:17,Take Out,QR Pay,5
4A,Gong Bao Sauce Chicken,1,7,9/12/2024,12:41:12,Take Out,QR Pay,7
11,Fried Chicken Wan-Tan (5 pcs),1,5,9/12/2024,12:42:52,Dine In,QR Pay,5
4A,Gong Bao Sauce Chicken,1,7,9/12/2024,12:42:52,Dine In,QR Pay,7
9B,Black Pepper Sauce Duck,1,9,9/12/2024,12:43:17,Take Out,QR Pay,9
5A,Thai Patpet Sauce Chicken,1,8,9/12/2024,12:43:17,Take Out,QR Pay,8
8B,Black Paper Sauce Fish,2,9,9/12/2024,12:45:32,Dine In,Cash,18
1B,Salt Egg Butter Milk Fish,1,9,9/12/2024,12:45:32,Dine In,Cash,9
1B,Salt Egg Butter Milk Fish,1,9,9/12/2024,12:53:15,Dine In,Cash,9
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,9/12/2024,12:53:15,Dine In,Cash,8.5
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,9/12/2024,12:54:37,Dine In,Cash,8.5
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,9/12/2024,12:54:37,Dine In,Cash,9.5
11A,Fried Chicken Roll (2 pcs),1,5,9/12/2024,12:54:37,Dine In,Cash,5
8A,Black Paper Sauce Chicken,1,8,9/12/2024,13:00:03,Dine In,Cash,8
14,Cantonise Yi Mee,1,6.5,9/12/2024,13:00:03,Dine In,Cash,6.5
9,Teriyaki Sauce Duck,1,9,9/12/2024,13:03:17,Take Out,QR Pay,9
9B,Black Pepper Sauce Duck,1,9,9/12/2024,13:03:17,Take Out,QR Pay,9
3B,Jin Xiang Sauce Fish,1,8,9/12/2024,13:04:57,Dine In,Cash,8
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,9/12/2024,13:06:18,Dine In,QR Pay,8.5
5B,Thai Patpet Sauce Fish,1,9,9/12/2024,13:06:18,Dine In,QR Pay,9
5B,Thai Patpet Sauce Fish,1,9,9/12/2024,13:08:46,Dine In,QR Pay,9
8A,Black Paper Sauce Chicken,1,8,9/12/2024,13:14:28,Take Out,QR Pay,8
3B,Jin Xiang Sauce Fish,1,8,9/12/2024,13:14:28,Take Out,QR Pay,8
1B,Salt Egg Butter Milk Fish,1,9,9/12/2024,13:19:33,Dine In,Cash,9
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,9/12/2024,13:19:33,Dine In,Cash,9.5
7B,Honey Sauce Fish,1,9,9/12/2024,13:19:33,Dine In,Cash,9
8B,Black Paper Sauce Fish,1,9,9/12/2024,13:22:21,Dine In,QR Pay,9
7A,Honey Sauce Chicken,1,8,9/12/2024,13:22:21,Dine In,QR Pay,8
4A,Gong Bao Sauce Chicken,1,7,9/12/2024,13:28:18,Take Out,QR Pay,7
9B,Black Pepper Sauce Duck,1,9,9/12/2024,13:34:52,Take Out,QR Pay,9
7B,Honey Sauce Fish,1,9,9/12/2024,13:34:52,Take Out,QR Pay,9
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,13:47:29,Take Out,QR Pay,9
2B,Sweet & Sour Sauce Fish,1,8,9/12/2024,13:49:48,Take Out,QR Pay,8
1A,Salt Egg Butter Milk Chicken,1,8,9/12/2024,13:51:21,Dine In,Cash,8
8B,Black Paper Sauce Fish,1,9,9/12/2024,13:51:21,Dine In,Cash,9
1B,Salt Egg Butter Milk Fish,1,9,9/12/2024,13:56:38,Take Out,QR Pay,9
1A,Salt Egg Butter Milk Chicken,1,8,9/12/2024,13:56:42,Dine In,Cash,8
9M,Salt Egg Mala Sauce Duck,1,9,9/12/2024,13:56:42,Dine In,Cash,9
7A,Honey Sauce Chicken,1,8,9/12/2024,13:56:42,Dine In,Cash,8
3A,Jin Xiang Sauce Chicken,1,7,9/12/2024,13:59:13,Dine In,QR Pay,7
11B,Fried Fish Ball (7 pcs),1,5,9/12/2024,14:00:30,Dine In,QR Pay,5
6A,Si Chuan Mala Sauce Chicken,1,8,9/12/2024,14:00:30,Dine In,QR Pay,8
1A,Salt Egg Butter Milk Chicken,1,8,9/12/2024,14:01:26,Take Out,QR Pay,8
9M,Salt Egg Mala Sauce Duck,1,9,9/12/2024,14:01:26,Take Out,QR Pay,9
6A,Si Chuan Mala Sauce Chicken,1,8,9/12/2024,14:01:26,Take Out,QR Pay,8
11,Fried Chicken Wan-Tan (5 pcs),2,5,9/12/2024,14:04:23,Dine In,Cash,10
5A,Thai Patpet Sauce Chicken,1,8,9/12/2024,14:04:23,Dine In,Cash,8
14,Cantonise Yi Mee,1,6.5,9/12/2024,14:05:21,Take Out,QR Pay,6.5
11A,Fried Chicken Roll (2 pcs),2,5,9/12/2024,14:05:21,Take Out,QR Pay,10
3A,Jin Xiang Sauce Chicken,1,7,9/12/2024,14:06:57,Dine In,Cash,7
4B,Gong Bao Sauce Fish,1,8,9/12/2024,14:06:57,Dine In,Cash,8
7A,Honey Sauce Chicken,1,8,9/12/2024,14:06:57,Dine In,Cash,8
1B,Salt Egg Butter Milk Fish,1,9,9/12/2024,14:08:52,Dine In,Cash,9
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,9/12/2024,14:16:58,Take Out,QR Pay,8.5
11A,Fried Chicken Roll (2 pcs),1,5,9/12/2024,14:16:58,Take Out,QR Pay,5
5B,Thai Patpet Sauce Fish,1,9,9/12/2024,14:16:58,Take Out,QR Pay,9
9,Teriyaki Sauce Duck,1,9,9/12/2024,14:18:44,Dine In,Cash,9
5B,Thai Patpet Sauce Fish,1,9,9/12/2024,14:18:44,Dine In,Cash,9
14,Cantonise Yi Mee,1,6.5,9/12/2024,14:22:17,Dine In,QR Pay,6.5
2B,Sweet & Sour Sauce Fish,1,8,9/12/2024,14:22:17,Dine In,QR Pay,8
6A,Si Chuan Mala Sauce Chicken,1,8,9/12/2024,14:22:17,Dine In,QR Pay,8
11C,Fried Golden Fish Roll (2 pcs),1,5,9/12/2024,14:38:05,Dine In,Cash,5
5A,Thai Patpet Sauce Chicken,1,8,9/12/2024,14:38:05,Dine In,Cash,8
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,9/12/2024,14:43:27,Dine In,Cash,6.5
3A,Jin Xiang Sauce Chicken,1,7,9/12/2024,14:43:27,Dine In,Cash,7
11C,Fried Golden Fish Roll (2 pcs),1,5,9/12/2024,14:43:27,Dine In,Cash,5
2B,Sweet & Sour Sauce Fish,1,8,9/12/2024,14:48:28,Dine In,Cash,8
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,14:48:28,Dine In,Cash,9
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,9/12/2024,14:52:30,Dine In,Cash,9.5
9,Teriyaki Sauce Duck,1,9,9/12/2024,14:52:30,Dine In,Cash,9
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,14:52:30,Dine In,Cash,9
1A,Salt Egg Butter Milk Chicken,1,8,9/12/2024,14:54:23,Take Out,QR Pay,8
3A,Jin Xiang Sauce Chicken,1,7,9/12/2024,14:54:23,Take Out,QR Pay,7
5A,Thai Patpet Sauce Chicken,1,8,9/12/2024,14:54:23,Take Out,QR Pay,8
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,9/12/2024,14:55:53,Dine In,QR Pay,6.5
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,9/12/2024,14:58:23,Dine In,Cash,6.5
9M,Salt Egg Mala Sauce Duck,1,9,9/12/2024,14:58:23,Dine In,Cash,9
7B,Honey Sauce Fish,1,9,9/12/2024,14:58:23,Dine In,Cash,9
3B,Jin Xiang Sauce Fish,1,8,9/12/2024,15:08:23,Dine In,QR Pay,8
1B,Salt Egg Butter Milk Fish,1,9,9/12/2024,15:08:55,Take Out,QR Pay,9
8A,Black Paper Sauce Chicken,1,8,9/12/2024,15:22:39,Take Out,QR Pay,8
9M,Salt Egg Mala Sauce Duck,1,9,9/12/2024,15:24:56,Dine In,Cash,9
2B,Sweet & Sour Sauce Fish,1,8,9/12/2024,15:24:56,Dine In,Cash,8
14,Cantonise Yi Mee,1,6.5,9/12/2024,15:25:02,Take Out,QR Pay,6.5
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,9/12/2024,15:25:02,Take Out,QR Pay,9.5
2B,Sweet & Sour Sauce Fish,1,8,9/12/2024,15:25:56,Dine In,Cash,8
7A,Honey Sauce Chicken,1,8,9/12/2024,15:25:56,Dine In,Cash,8
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,15:26:05,Dine In,Cash,9
9M,Salt Egg Mala Sauce Duck,1,9,9/12/2024,15:29:27,Dine In,Cash,9
7B,Honey Sauce Fish,1,9,9/12/2024,15:29:55,Dine In,QR Pay,9
1B,Salt Egg Butter Milk Fish,1,9,9/12/2024,15:29:55,Dine In,QR Pay,9
3B,Jin Xiang Sauce Fish,1,8,9/12/2024,15:29:55,Dine In,QR Pay,8
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,15:33:19,Dine In,Cash,9
9B,Black Pepper Sauce Duck,1,9,9/12/2024,15:40:32,Dine In,Cash,9
7A,Honey Sauce Chicken,1,8,9/12/2024,15:40:32,Dine In,Cash,8
1A,Salt Egg Butter Milk Chicken,1,8,9/12/2024,15:41:26,Take Out,QR Pay,8
6A,Si Chuan Mala Sauce Chicken,1,8,9/12/2024,15:41:26,Take Out,QR Pay,8
3A,Jin Xiang Sauce Chicken,1,7,9/12/2024,15:43:11,Dine In,Cash,7
9B,Black Pepper Sauce Duck,1,9,9/12/2024,15:44:59,Dine In,QR Pay,9
11A,Fried Chicken Roll (2 pcs),1,5,9/12/2024,15:49:26,Dine In,QR Pay,5
5A,Thai Patpet Sauce Chicken,1,8,9/12/2024,15:49:26,Dine In,QR Pay,8
2B,Sweet & Sour Sauce Fish,1,8,9/12/2024,15:56:12,Dine In,QR Pay,8
11C,Fried Golden Fish Roll (2 pcs),1,5,9/12/2024,15:56:12,Dine In,QR Pay,5
3A,Jin Xiang Sauce Chicken,1,7,9/12/2024,15:57:38,Take Out,QR Pay,7
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,15:57:38,Take Out,QR Pay,9
8B,Black Paper Sauce Fish,1,9,9/12/2024,16:00:40,Dine In,Cash,9
9,Teriyaki Sauce Duck,1,9,9/12/2024,16:00:40,Dine In,Cash,9
7B,Honey Sauce Fish,1,9,9/12/2024,16:00:40,Dine In,Cash,9
11C,Fried Golden Fish Roll (2 pcs),1,5,9/12/2024,16:03:09,Take Out,QR Pay,5
1A,Salt Egg Butter Milk Chicken,1,8,9/12/2024,16:08:43,Take Out,QR Pay,8
6A,Si Chuan Mala Sauce Chicken,1,8,9/12/2024,16:08:43,Take Out,QR Pay,8
2A,Sweet & Sour Sauce Chicken,1,7,9/12/2024,16:12:46,Dine In,QR Pay,7
4A,Gong Bao Sauce Chicken,1,7,9/12/2024,16:12:46,Dine In,QR Pay,7
14,Cantonise Yi Mee,1,6.5,9/12/2024,16:12:56,Take Out,QR Pay,6.5
8A,Black Paper Sauce Chicken,1,8,9/12/2024,16:12:56,Take Out,QR Pay,8
2B,Sweet & Sour Sauce Fish,1,8,9/12/2024,16:12:56,Take Out,QR Pay,8
5A,Thai Patpet Sauce Chicken,1,8,9/12/2024,16:16:12,Dine In,Cash,8
9M,Salt Egg Mala Sauce Duck,1,9,9/12/2024,16:19:46,Dine In,QR Pay,9
3A,Jin Xiang Sauce Chicken,1,7,9/12/2024,16:19:46,Dine In,QR Pay,7
14,Cantonise Yi Mee,1,6.5,9/12/2024,16:28:36,Take Out,QR Pay,6.5
14,Cantonise Yi Mee,1,6.5,9/12/2024,16:31:06,Dine In,QR Pay,6.5
6A,Si Chuan Mala Sauce Chicken,1,8,9/12/2024,16:31:06,Dine In,QR Pay,8
4B,Gong Bao Sauce Fish,1,8,9/12/2024,16:32:39,Dine In,Cash,8
11B,Fried Fish Ball (7 pcs),1,5,9/12/2024,16:32:39,Dine In,Cash,5
4A,Gong Bao Sauce Chicken,1,7,9/12/2024,16:40:09,Take Out,QR Pay,7
1B,Salt Egg Butter Milk Fish,1,9,9/12/2024,16:48:08,Dine In,QR Pay,9
11A,Fried Chicken Roll (2 pcs),1,5,9/12/2024,16:48:08,Dine In,QR Pay,5
2B,Sweet & Sour Sauce Fish,1,8,9/12/2024,16:50:43,Take Out,QR Pay,8
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,16:50:43,Take Out,QR Pay,9
5A,Thai Patpet Sauce Chicken,1,8,9/12/2024,16:53:17,Take Out,QR Pay,8
14,Cantonise Yi Mee,1,6.5,9/12/2024,16:55:27,Dine In,Cash,6.5
3B,Jin Xiang Sauce Fish,1,8,9/12/2024,16:55:27,Dine In,Cash,8
4B,Gong Bao Sauce Fish,1,8,9/12/2024,16:55:27,Dine In,Cash,8
8A,Black Paper Sauce Chicken,2,8,9/12/2024,16:58:50,Dine In,Cash,16
1A,Salt Egg Butter Milk Chicken,1,8,9/12/2024,16:59:16,Take Out,QR Pay,8
2B,Sweet & Sour Sauce Fish,1,8,9/12/2024,16:59:16,Take Out,QR Pay,8
7A,Honey Sauce Chicken,1,8,9/12/2024,16:59:16,Take Out,QR Pay,8
9B,Black Pepper Sauce Duck,1,9,9/12/2024,17:02:45,Dine In,Cash,9
11C,Fried Golden Fish Roll (2 pcs),1,5,9/12/2024,17:07:59,Dine In,QR Pay,5
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,9/12/2024,17:11:57,Dine In,Cash,9.5
11C,Fried Golden Fish Roll (2 pcs),1,5,9/12/2024,17:11:57,Dine In,Cash,5
5B,Thai Patpet Sauce Fish,1,9,9/12/2024,17:19:21,Dine In,Cash,9
3B,Jin Xiang Sauce Fish,1,8,9/12/2024,17:29:58,Dine In,QR Pay,8
7A,Honey Sauce Chicken,1,8,9/12/2024,17:29:58,Dine In,QR Pay,8
11B,Fried Fish Ball (7 pcs),1,5,9/12/2024,17:40:34,Dine In,QR Pay,5
4B,Gong Bao Sauce Fish,1,8,9/12/2024,17:40:34,Dine In,QR Pay,8
1A,Salt Egg Butter Milk Chicken,1,8,9/12/2024,17:43:57,Dine In,Cash,8
14,Cantonise Yi Mee,1,6.5,9/12/2024,17:43:57,Dine In,Cash,6.5
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,9/12/2024,17:49:55,Take Out,QR Pay,9.5
11A,Fried Chicken Roll (2 pcs),1,5,9/12/2024,17:49:55,Take Out,QR Pay,5
6B,Si Chuan Mala Sauce Fish,1,9,9/12/2024,17:49:55,Take Out,QR Pay,9
9B,Black Pepper Sauce Duck,1,9,9/12/2024,17:50:36,Take Out,QR Pay,9
5B,Thai Patpet Sauce Fish,1,9,9/12/2024,17:50:36,Take Out,QR Pay,9
8B,Black Paper Sauce Fish,1,9,9/12/2024,17:51:13,Take Out,QR Pay,9
8A,Black Paper Sauce Chicken,1,8,10/12/2024,11:01:13,Take Out,QR Pay,8
11A,Fried Chicken Roll (2 pcs),1,5,10/12/2024,11:07:08,Dine In,QR Pay,5
4A,Gong Bao Sauce Chicken,1,7,10/12/2024,11:07:08,Dine In,QR Pay,7
4B,Gong Bao Sauce Fish,1,8,10/12/2024,11:09:37,Dine In,Cash,8
4B,Gong Bao Sauce Fish,1,8,10/12/2024,11:18:20,Dine In,QR Pay,8
9,Teriyaki Sauce Duck,1,9,10/12/2024,11:18:20,Dine In,QR Pay,9
7A,Honey Sauce Chicken,1,8,10/12/2024,11:18:20,Dine In,QR Pay,8
7B,Honey Sauce Fish,1,9,10/12/2024,11:18:37,Take Out,QR Pay,9
8A,Black Paper Sauce Chicken,1,8,10/12/2024,11:20:32,Take Out,QR Pay,8
1B,Salt Egg Butter Milk Fish,1,9,10/12/2024,11:20:32,Take Out,QR Pay,9
9M,Salt Egg Mala Sauce Duck,1,9,10/12/2024,11:20:32,Take Out,QR Pay,9
2A,Sweet & Sour Sauce Chicken,1,7,10/12/2024,11:22:53,Take Out,QR Pay,7
4B,Gong Bao Sauce Fish,1,8,10/12/2024,11:22:53,Take Out,QR Pay,8
11B,Fried Fish Ball (7 pcs),1,5,10/12/2024,11:22:53,Take Out,QR Pay,5
2A,Sweet & Sour Sauce Chicken,1,7,10/12/2024,11:23:30,Take Out,QR Pay,7
3A,Jin Xiang Sauce Chicken,1,7,10/12/2024,11:23:30,Take Out,QR Pay,7
7B,Honey Sauce Fish,1,9,10/12/2024,11:23:30,Take Out,QR Pay,9
11C,Fried Golden Fish Roll (2 pcs),1,5,10/12/2024,11:46:29,Take Out,QR Pay,5
7B,Honey Sauce Fish,1,9,10/12/2024,11:46:29,Take Out,QR Pay,9
11C,Fried Golden Fish Roll (2 pcs),1,5,10/12/2024,11:48:21,Dine In,QR Pay,5
14,Cantonise Yi Mee,1,6.5,10/12/2024,11:48:38,Dine In,QR Pay,6.5
8B,Black Paper Sauce Fish,1,9,10/12/2024,11:48:38,Dine In,QR Pay,9
7A,Honey Sauce Chicken,1,8,10/12/2024,11:48:38,Dine In,QR Pay,8
9M,Salt Egg Mala Sauce Duck,1,9,10/12/2024,11:48:53,Take Out,QR Pay,9
4B,Gong Bao Sauce Fish,1,8,10/12/2024,11:48:53,Take Out,QR Pay,8
3A,Jin Xiang Sauce Chicken,1,7,10/12/2024,11:50:12,Dine In,Cash,7
9B,Black Pepper Sauce Duck,1,9,10/12/2024,11:50:12,Dine In,Cash,9
7B,Honey Sauce Fish,1,9,10/12/2024,11:51:17,Take Out,QR Pay,9
11A,Fried Chicken Roll (2 pcs),2,5,10/12/2024,11:54:55,Dine In,QR Pay,10
11B,Fried Fish Ball (7 pcs),1,5,10/12/2024,11:54:55,Dine In,QR Pay,5
1A,Salt Egg Butter Milk Chicken,1,8,10/12/2024,11:58:37,Take Out,QR Pay,8
11A,Fried Chicken Roll (2 pcs),1,5,10/12/2024,12:00:35,Dine In,Cash,5
5A,Thai Patpet Sauce Chicken,1,8,10/12/2024,12:00:35,Dine In,Cash,8
9M,Salt Egg Mala Sauce Duck,1,9,10/12/2024,12:22:17,Take Out,QR Pay,9
6A,Si Chuan Mala Sauce Chicken,1,8,10/12/2024,12:22:17,Take Out,QR Pay,8
5A,Thai Patpet Sauce Chicken,2,8,10/12/2024,12:30:24,Take Out,QR Pay,16
1B,Salt Egg Butter Milk Fish,1,9,10/12/2024,12:31:45,Take Out,QR Pay,9
3B,Jin Xiang Sauce Fish,1,8,10/12/2024,12:32:33,Dine In,Cash,8
5A,Thai Patpet Sauce Chicken,1,8,10/12/2024,12:32:33,Dine In,Cash,8
4A,Gong Bao Sauce Chicken,1,7,10/12/2024,12:41:56,Take Out,QR Pay,7
5A,Thai Patpet Sauce Chicken,1,8,10/12/2024,12:41:56,Take Out,QR Pay,8
2A,Sweet & Sour Sauce Chicken,1,7,10/12/2024,12:42:18,Dine In,Cash,7
11B,Fried Fish Ball (7 pcs),1,5,10/12/2024,12:42:18,Dine In,Cash,5
7B,Honey Sauce Fish,1,9,10/12/2024,12:42:18,Dine In,Cash,9
4B,Gong Bao Sauce Fish,1,8,10/12/2024,12:44:10,Dine In,Cash,8
4B,Gong Bao Sauce Fish,1,8,10/12/2024,12:44:21,Take Out,QR Pay,8
1B,Salt Egg Butter Milk Fish,1,9,10/12/2024,12:47:24,Take Out,QR Pay,9
14,Cantonise Yi Mee,1,6.5,10/12/2024,12:47:24,Take Out,QR Pay,6.5
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,10/12/2024,12:47:41,Dine In,QR Pay,9.5
3A,Jin Xiang Sauce Chicken,1,7,10/12/2024,12:47:41,Dine In,QR Pay,7
7A,Honey Sauce Chicken,1,8,10/12/2024,12:47:41,Dine In,QR Pay,8
11,Fried Chicken Wan-Tan (5 pcs),1,5,10/12/2024,12:54:54,Take Out,QR Pay,5
6A,Si Chuan Mala Sauce Chicken,1,8,10/12/2024,12:54:54,Take Out,QR Pay,8
13,Cantonise Yuen Yang (Ladna Kuey Teow),1,6.5,10/12/2024,12:59:06,Dine In,QR Pay,6.5
5A,Thai Patpet Sauce Chicken,1,8,10/12/2024,12:59:06,Dine In,QR Pay,8
2A,Sweet & Sour Sauce Chicken,1,7,10/12/2024,13:00:23,Take Out,QR Pay,7
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,10/12/2024,13:04:14,Dine In,QR Pay,9.5
11A,Fried Chicken Roll (2 pcs),1,5,10/12/2024,13:06:50,Take Out,QR Pay,5
11C,Fried Golden Fish Roll (2 pcs),1,5,10/12/2024,13:06:50,Take Out,QR Pay,5
5B,Thai Patpet Sauce Fish,1,9,10/12/2024,13:06:50,Take Out,QR Pay,9
1MB,Salt Egg Sauce (Mala) Fish,2,9.5,10/12/2024,13:10:55,Take Out,QR Pay,19
9M,Salt Egg Mala Sauce Duck,1,9,10/12/2024,13:10:55,Take Out,QR Pay,9
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,10/12/2024,13:14:47,Dine In,Cash,8.5
4B,Gong Bao Sauce Fish,1,8,10/12/2024,13:14:47,Dine In,Cash,8
4A,Gong Bao Sauce Chicken,1,7,10/12/2024,13:25:10,Dine In,Cash,7
1A,Salt Egg Butter Milk Chicken,1,8,10/12/2024,13:25:47,Dine In,Cash,8
9B,Black Pepper Sauce Duck,1,9,10/12/2024,13:25:47,Dine In,Cash,9
6B,Si Chuan Mala Sauce Fish,1,9,10/12/2024,13:25:47,Dine In,Cash,9
1MA,Salt Egg Sauce (Mala) Chicken,1,8.5,10/12/2024,13:27:47,Take Out,QR Pay,8.5
3B,Jin Xiang Sauce Fish,1,8,10/12/2024,13:27:47,Take Out,QR Pay,8
1MB,Salt Egg Sauce (Mala) Fish,2,9.5,10/12/2024,13:27:54,Dine In,Cash,19
2B,Sweet & Sour Sauce Fish,1,8,10/12/2024,13:33:32,Dine In,QR Pay,8
3A,Jin Xiang Sauce Chicken,1,7,10/12/2024,13:33:32,Dine In,QR Pay,7
11C,Fried Golden Fish Roll (2 pcs),1,5,10/12/2024,13:33:32,Dine In,QR Pay,5
11C,Fried Golden Fish Roll (2 pcs),1,5,10/12/2024,13:38:18,Take Out,QR Pay,5
9,Teriyaki Sauce Duck,1,9,10/12/2024,13:39:43,Take Out,QR Pay,9
6A,Si Chuan Mala Sauce Chicken,1,8,10/12/2024,13:41:41,Take Out,QR Pay,8
3B,Jin Xiang Sauce Fish,1,8,10/12/2024,13:43:29,Take Out,QR Pay,8
11B,Fried Fish Ball (7 pcs),1,5,10/12/2024,13:44:39,Dine In,Cash,5
4B,Gong Bao Sauce Fish,1,8,10/12/2024,13:44:39,Dine In,Cash,8
7B,Honey Sauce Fish,1,9,10/12/2024,13:44:39,Dine In,Cash,9
1B,Salt Egg Butter Milk Fish,1,9,10/12/2024,13:46:10,Take Out,QR Pay,9
14,Cantonise Yi Mee,1,6.5,10/12/2024,13:48:14,Take Out,QR Pay,6.5
3B,Jin Xiang Sauce Fish,1,8,10/12/2024,13:48:14,Take Out,QR Pay,8
9,Teriyaki Sauce Duck,1,9,10/12/2024,13:51:23,Dine In,QR Pay,9
3B,Jin Xiang Sauce Fish,1,8,10/12/2024,13:51:23,Dine In,QR Pay,8
11C,Fried Golden Fish Roll (2 pcs),1,5,10/12/2024,13:51:23,Dine In,QR Pay,5
1MB,Salt Egg Sauce (Mala) Fish,1,9.5,10/12/2024,13:53:23,Take Out,QR Pay,9.5
